created_at,user.screen_name,user.name,favorite_count,retweet_count,legislator_state,keyword,label_drew,label_taegyoon,label_final,agreement
Mon Jul 27 22:17:21 +0000 2020,BrittMiller4AD5,Assemblywoman Brittney Miller,0,16,Nevada,find,0,0,0,1
Thu Aug 06 04:39:59 +0000 2020,RafaelAnchia,Rafael Anchía,0,709,Texas,find,0,0,0,1
Wed Jun 21 19:30:23 +0000 2017,JustinBoydAR,Justin Boyd 4 AR,0,15,Arkansas,find,0,0,0,1
Fri Apr 24 18:14:26 +0000 2020,BucyForTexas,Rep. John Bucy III,5,3,Texas,find,0,0,0,1
Mon Mar 16 04:54:31 +0000 2020,Biaggi4NY,Alessandra Biaggi,0,20824,New_York,find,0,0,0,1
Wed Feb 04 16:57:49 +0000 2015,beckynutt3,Becky Nutt,0,9,Arizona,find,0,0,0,1
Fri Mar 20 18:32:13 +0000 2020,CandicePierucci,Candice B. Pierucci,14,11,Utah,find,0,0,0,1
Thu Jan 02 14:22:11 +0000 2020,RepDavidCook,David Cook,2,1,Arizona,find,0,0,0,1
Thu Oct 15 13:50:57 +0000 2020,C_Herring,Charniele Herring,0,0,Virginia,find,0,0,0,1
Wed Nov 09 00:59:32 +0000 2016,Rios_Rebecca,Rebecca Rios,0,67,Arizona,find,0,0,0,1
Mon Mar 18 23:19:34 +0000 2019,RuiXuKS,Rui Xu,1,1,Kansas,yes,0,0,0,1
Fri Feb 26 02:39:58 +0000 2016,JeffWeninger,Jeff Weninger,1,0,Arizona,yes,0,0,0,1
Fri Oct 23 02:23:26 +0000 2020,yuhline,Yuh-Line Niou,12,1,New_York,yes,0,0,0,1
Thu Mar 30 14:05:04 +0000 2017,repkoenig,Adam Koenig,0,1,Kentucky,yes,0,0,0,1
Fri Dec 02 23:08:12 +0000 2011,JayWalkerSky,Jay Walker,0,0,Maryland,yes,0,0,0,1
Sat Aug 01 17:47:43 +0000 2020,ForHD65,Michelle Beckley,0,0,Texas,yes,0,0,0,1
Wed Jan 15 03:37:26 +0000 2020,JayerWilliamson,Jayer Williamson,2,0,Florida,yes,0,0,0,1
Thu Nov 26 21:59:24 +0000 2020,KarinDerry4Iowa,Former State Rep Karin Derry,1,0,Iowa,yes,0,0,0,1
Wed Apr 16 23:18:23 +0000 2014,MarkoLiias,𝐌𝐚𝐫𝐤𝐨 𝐋𝐢𝐢𝐚𝐬 🏳️‍🌈,0,0,Washington,yes,0,0,0,1
Thu May 16 01:23:51 +0000 2019,DLHoskins,"Senator Denny Hoskins, CPA",0,4,Missouri,yes,0,0,0,1
